sensor_id, timestamp, count
1752,'2016-07-08 14',190
1752,'2016-07-08 15',281
1752,'2016-07-08 16',417
1752,'2016-07-08 17',440
1752,'2016-07-08 18',455
1752,'2016-07-08 19',619
1752,'2016-07-08 20',443
1752,'2016-07-08 21',439
1752,'2016-07-08 22',402
1752,'2016-07-08 23',170
1752,'2016-07-09 00',45
1752,'2016-07-09 01',25
1752,'2016-07-09 02',10
1752,'2016-07-09 03',9
1752,'2016-07-09 04',18
1752,'2016-07-09 05',58
1752,'2016-07-09 06',106
1752,'2016-07-09 07',161
1752,'2016-07-09 08',158
1752,'2016-07-09 09',155
1752,'2016-07-09 10',193
1752,'2016-07-09 11',127
1752,'2016-07-09 12',119
1752,'2016-07-09 13',98
1752,'2016-07-09 14',254
1752,'2016-07-09 15',322
1752,'2016-07-09 16',484
1752,'2016-07-09 17',582
1752,'2016-07-09 18',585
1752,'2016-07-09 19',538
1752,'2016-07-09 20',357
1752,'2016-07-09 21',234
1752,'2016-07-09 22',153
1752,'2016-07-09 23',71
1752,'2016-07-10 00',57
1752,'2016-07-10 01',31
1752,'2016-07-10 02',22
1752,'2016-07-10 03',10
1752,'2016-07-10 04',30
1752,'2016-07-10 05',94
1752,'2016-07-10 06',123
1752,'2016-07-10 07',153
1752,'2016-07-10 08',159
1752,'2016-07-10 09',182
1752,'2016-07-10 10',194
1752,'2016-07-10 11',213
1752,'2016-07-10 12',119
1752,'2016-07-10 13',76
1752,'2016-07-10 14',449
1752,'2016-07-10 15',484
1752,'2016-07-10 16',677
1752,'2016-07-10 17',435
1752,'2016-07-10 18',456
1752,'2016-07-10 19',619
1752,'2016-07-10 20',406
1752,'2016-07-10 21',263
1752,'2016-07-10 22',140
1752,'2016-07-10 23',91
1753,'2016-07-08 07',31
1753,'2016-07-08 08',45
1753,'2016-07-08 09',16
1753,'2016-07-08 10',15
1753,'2016-07-08 11',1
1753,'2016-07-08 12',1
1753,'2016-07-08 14',3
1753,'2016-07-08 15',51
1753,'2016-07-08 16',121
1753,'2016-07-08 17',109
1753,'2016-07-08 18',63
1753,'2016-07-08 19',40
1753,'2016-07-08 20',13
1753,'2016-07-08 21',24
1753,'2016-07-08 22',3
1753,'2016-07-08 23',1
1753,'2016-07-09 00',1
1753,'2016-07-09 02',5
1753,'2016-07-09 05',2
1753,'2016-07-09 07',17
1753,'2016-07-09 08',17
1753,'2016-07-09 09',7
1753,'2016-07-09 10',5
1753,'2016-07-09 11',2
1753,'2016-07-09 12',2
1753,'2016-07-09 14',1
1753,'2016-07-09 15',1
1753,'2016-07-09 17',5
1753,'2016-07-09 18',2
1753,'2016-07-09 19',3
1753,'2016-07-09 20',2
1753,'2016-07-09 21',2
1753,'2016-07-09 23',1
1753,'2016-07-10 00',1
1753,'2016-07-10 01',2
1753,'2016-07-10 03',1
1753,'2016-07-10 04',1
1753,'2016-07-10 05',2
1753,'2016-07-10 06',8
1753,'2016-07-10 07',11
1753,'2016-07-10 08',8
1753,'2016-07-10 09',18
1753,'2016-07-10 10',10
1753,'2016-07-10 11',4
1753,'2016-07-10 12',1
1753,'2016-07-10 13',3
1753,'2016-07-10 15',295
1753,'2016-07-10 16',196
1753,'2016-07-10 17',20
1753,'2016-07-10 18',22
1753,'2016-07-10 19',8
1753,'2016-07-10 20',2
1753,'2016-07-10 21',1
1753,'2016-07-10 22',2
1753,'2016-07-10 23',3
1754,'2016-07-08 00',5
1754,'2016-07-08 02',1
1754,'2016-07-08 04',6
1754,'2016-07-08 05',27
1754,'2016-07-08 06',11
1754,'2016-07-08 07',9
1754,'2016-07-08 08',5
1754,'2016-07-08 09',8
1754,'2016-07-08 10',7
1754,'2016-07-08 11',12
1754,'2016-07-08 12',23
1754,'2016-07-08 13',19
1754,'2016-07-08 14',21
1754,'2016-07-08 15',89
1754,'2016-07-08 16',149
1754,'2016-07-08 17',101
1754,'2016-07-08 18',91
1754,'2016-07-08 19',184
1754,'2016-07-08 20',140
1754,'2016-07-08 21',61
1754,'2016-07-08 22',28
1754,'2016-07-08 23',8
1754,'2016-07-09 00',1
1754,'2016-07-09 04',3
1754,'2016-07-09 05',24
1754,'2016-07-09 06',23
1754,'2016-07-09 07',8
1754,'2016-07-09 08',16
1754,'2016-07-09 09',12
1754,'2016-07-09 10',6
1754,'2016-07-09 11',18
1754,'2016-07-09 12',13
1754,'2016-07-09 13',20
1754,'2016-07-09 14',90
1754,'2016-07-09 15',13
1754,'2016-07-09 16',4
1754,'2016-07-09 17',5
1754,'2016-07-09 18',24
1754,'2016-07-09 19',141
1754,'2016-07-09 20',65
1754,'2016-07-09 21',24
